GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G3500470","1980","A","4","8","New Mexico","35",,"San Miguel","047",,,,,,,,,,,,,"02",,,,,,,,"SAN MIGUEL COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",22751,11210,11541,16937,88,90,0,0,7,19,3,5,2,0,3,0,0,5597,4227,5620,25,8,12871,437,770,709,328,320,1187,1569,413,487,484,547,531,558,520,453,1226,1812,1654,2366,1872,965,357,539,1544,825,278,214,410,355,168,147,625,801,222,245,244,271,264,274,249,217,634,908,832,1170,892,446,154,239,720,397,112,223,360,354,160,173,562,768,191,242,240,276,267,284,271,236,592,904,822,1196,980,519,203,300,824,428,166
"G3500490","1980","A","4","8","New Mexico","35",,"Santa Fe","049",,,,,,,,,,,,,"01",,,,,,,,"SANTA FE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",75360,36946,38414,59287,402,2117,11,10,70,29,18,15,50,21,15,4,1,13310,33495,9740,79,24,32022,1269,2391,2235,1106,1149,3696,5090,1327,1468,1472,1546,1305,1284,1201,1199,3808,7167,7320,9593,6948,3250,1112,1621,4256,1967,580,622,1217,1150,545,584,1879,2629,660,778,727,803,637,609,602,585,1894,3514,3712,4788,3389,1547,545,726,1833,772,199,647,1174,1085,561,565,1817,2461,667,690,745,743,668,675,599,614,1914,3653,3608,4805,3559,1703,567,895,2423,1195,381
"G3500510","1980","A","4","8","New Mexico","35",,"Sierra","051",,,,,,,,,,,,,"03",,,,,,,,"SIERRA COUNTY","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0",8454,4089,4365,8082,12,49,0,0,1,0,0,2,3,0,0,0,1,304,6312,1111,0,1,1030,87,139,181,95,81,266,460,145,134,151,129,101,81,84,73,231,334,351,716,872,555,255,439,1627,699,168,48,70,81,48,50,114,235,71,81,76,77,58,41,40,37,106,159,157,335,404,244,105,230,798,335,89,39,69,100,47,31,152,225,74,53,75,52,43,40,44,36,125,175,194,381,468,311,150,209,829,364,79
"G3500530","1980","A","4","8","New Mexico","35",,"Socorro","053",,,,,,,,,,,,,"03",,,,,,,,"SOCORRO COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",12566,6401,6165,10291,53,1246,0,1,11,19,9,1,27,14,1,1,2,890,6693,1750,15,2,4106,233,479,470,227,206,684,912,246,241,244,269,293,349,292,279,788,1036,871,1263,1098,508,189,277,734,293,85,108,241,196,103,98,347,459,131,122,143,137,163,210,173,152,426,542,464,629,555,233,103,132,370,127,37,125,238,274,124,108,337,453,115,119,101,132,130,139,119,127,362,494,407,634,543,275,86,145,364,166,48
"G3500550","1980","A","4","8","New Mexico","35",,"Taos","055",,,,,,,,,,,,,"01",,,,,,,,"TAOS COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",19456,9697,9759,10268,45,1246,1,4,7,3,2,4,1,0,1,0,1,7873,6014,2147,7,11,11277,367,628,650,317,343,1117,1550,405,401,452,442,342,295,276,264,849,1597,1734,2374,1695,762,295,407,1169,536,189,191,325,353,140,205,584,792,213,214,225,236,182,142,141,131,406,737,865,1206,819,356,123,190,582,246,93,176,303,297,177,138,533,758,192,187,227,206,160,153,135,133,443,860,869,1168,876,406,172,217,587,290,96
"G3500570","1980","A","4","8","New Mexico","35",,"Torrance","057",,,,,,,,,,,,,"02",,,,,,,,"TORRANCE COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",7491,3714,3777,5507,15,39,0,0,9,0,2,0,5,0,2,0,0,1912,4415,854,5,2,2215,138,251,269,146,129,392,555,141,152,143,143,119,110,97,101,293,563,553,805,727,375,167,224,570,266,62,72,129,142,76,58,218,264,70,81,76,89,64,53,49,57,131,282,272,403,360,176,65,108,280,112,27,66,122,127,70,71,174,291,71,71,67,54,55,57,48,44,162,281,281,402,367,199,102,116,290,154,35
"G3500590","1980","A","4","8","New Mexico","35",,"Union","059",,,,,,,,,,,,,"02",,,,,,,,"UNION COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",4725,2318,2407,4534,0,15,0,0,2,1,2,0,1,0,0,0,0,170,3249,437,2,0,1037,82,136,132,60,65,232,312,82,100,118,107,65,70,51,51,172,314,269,520,470,234,95,175,460,258,95,45,65,64,33,36,119,159,39,56,56,50,31,41,22,26,82,168,124,259,233,109,48,80,226,109,38,37,71,68,27,29,113,153,43,44,62,57,34,29,29,25,90,146,145,261,237,125,47,95,234,149,57
"G3500610","1980","A","4","8","New Mexico","35",,"Valencia","061",,,,,,,,,,,,,"01",,,,,,,,"VALENCIA COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",61115,30436,30679,43326,344,8631,5,2,27,21,50,2,19,12,3,5,1,8667,34254,8862,39,16,17944,1487,2578,2346,1160,1108,3622,4770,1147,1300,1279,1326,1153,1097,1157,1060,3444,5357,4554,6784,5521,2323,855,1151,2996,1223,317,727,1326,1226,589,577,1787,2409,559,641,605,651,597,557,567,526,1725,2697,2252,3416,2795,1160,395,612,1394,488,158,760,1252,1120,571,531,1835,2361,588,659,674,675,556,540,590,534,1719,2660,2302,3368,2726,1163,460,539,1602,735,159
"G3600010","1980","A","1","2","New York","36","0160","Albany","001",,,,,,,,,,,,,"F",,,,,,,,"ALBANY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",285909,135291,150618,262779,18839,320,4,3,143,764,258,297,716,203,21,1,4,1557,282884,370,1217,147,1291,3576,6567,6308,3184,3061,11117,16394,4327,4791,4809,5031,6228,7032,6832,6389,16639,24913,22156,28754,29095,15825,5990,8297,22588,12283,3723,1857,3372,3264,1631,1528,5717,8424,2186,2434,2465,2584,3012,3330,3297,3044,8079,12236,10900,13842,13805,7404,2662,3730,9286,4173,1029,1719,3195,3044,1553,1533,5400,7970,2141,2357,2344,2447,3216,3702,3535,3345,8560,12677,11256,14912,15290,8421,3328,4567,13302,8110,2694
"G3600030","1980","A","1","2","New York","36",,"Allegany","003",,,,,,,,,,,,,"03",,,,,,,,"ALLEGANY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",51742,25427,26315,51210,161,120,1,1,19,32,10,17,32,5,4,0,1,129,51553,70,28,14,77,775,1537,1441,715,762,2453,3204,875,913,969,995,2008,2535,1864,1312,2517,3592,3205,4948,4656,2255,942,1290,3562,1810,607,387,771,726,363,391,1257,1639,448,454,506,499,973,1275,1018,690,1280,1788,1586,2418,2304,1070,455,626,1594,714,195,388,766,715,352,371,1196,1565,427,459,463,496,1035,1260,846,622,1237,1804,1619,2530,2352,1185,487,664,1968,1096,412
"G3600050","1980","B","1","2","New York","36","5600","Bronx","005",,,,,,,,"70",,,,,"G",,,,,,,,"BRONX COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1168972,530449,638523,554046,371926,2343,47,19,1615,5081,1384,2017,4327,404,169,142,24,225428,772619,4017,320098,7915,64323,18977,35749,34953,16594,15984,52881,78078,21438,21991,22745,22320,21591,22004,21402,20881,59458,91974,83637,130393,115595,57995,21444,29590,87224,49848,14226,9450,18394,17793,8494,8116,26814,39692,10798,11031,11428,11089,10651,10859,10250,9683,27119,41905,37501,57239,49920,24790,9174,12310,33935,17546,4468,9527,17355,17160,8100,7868,26067,38386,10640,10960,11317,11231,10940,11145,11152,11198,32339,50069,46136,73154,65675,33205,12270,17280,53289,32302,9758
"G3600070","1980","A","1","2","New York","36","0960","Broome","007",,,,,,,,,,,,,"E",,,,,,,,"BROOME COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",213648,102717,110931,207791,3131,248,3,1,103,458,127,237,368,135,8,2,1,1035,212097,261,527,73,690,2815,5049,4981,2605,2397,8811,13383,3523,3800,4033,4148,4650,4893,4660,4492,11657,16369,15016,22673,22848,12291,4339,6570,16162,8725,2758,1529,2658,2597,1342,1179,4547,6899,1762,1908,2072,2145,2271,2321,2332,2158,5942,8231,7367,10956,11057,5737,1996,2959,6965,3035,752,1286,2391,2384,1263,1218,4264,6484,1761,1892,1961,2003,2379,2572,2328,2334,5715,8138,7649,11717,11791,6554,2343,3611,9197,5690,2006
"G3600090","1980","A","1","2","New York","36",,"Cattaraugus","009",,,,,,,,,,,,,"03",,,,,,,,"CATTARAUGUS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",85697,41495,44202,83094,615,1645,4,0,18,56,13,35,77,5,3,1,0,131,85361,81,80,7,168,1348,2557,2481,1312,1218,4307,5960,1624,1609,1651,1617,1751,1725,1734,1691,4142,6426,5949,8619,8609,4499,1703,2381,6303,3436,1045,700,1357,1248,690,644,2187,3045,792,826,834,866,882,867,841,823,2022,3093,2992,4198,4131,2146,802,1125,2756,1328,300,648,1200,1233,622,574,2120,2915,832,783,817,751,869,858,893,868,2120,3333,2957,4421,4478,2353,901,1256,3547,2108,745
"G3600110","1980","A","1","2","New York","36",,"Cayuga","011",,,,,,,,,,,,,"04",,,,,,,,"CAYUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",79894,39226,40668,77157,1941,147,0,0,48,21,28,29,42,9,1,6,1,464,79261,98,330,17,188,1243,2254,2159,1103,1076,3810,5563,1497,1539,1606,1553,1466,1420,1331,1286,3928,6503,5817,8287,7709,4331,1591,2375,6158,3124,1165,637,1125,1125,581,548,1991,2866,775,777,802,780,699,690,607,570,2004,3415,3098,4271,3729,2080,723,1079,2766,1129,359,606,1129,1034,522,528,1819,2697,722,762,804,773,767,730,724,716,1924,3088,2719,4016,3980,2251,868,1296,3392,1995,806
"G3600130","1980","A","1","2","New York","36",,"Chautauqua","013",,,,,,,,,,,,,"03",,,,,,,,"CHAUTAUQUA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",146925,70767,76158,142928,1901,356,1,0,25,43,48,105,93,46,0,10,4,1365,144659,169,1754,23,320,2171,4029,3823,1921,1934,6540,9208,2528,2642,2688,2779,3004,3099,2858,2951,7308,10976,9678,14979,15294,8018,3081,4537,12120,6608,2151,1105,2061,1943,1030,987,3364,4708,1326,1356,1433,1466,1471,1513,1408,1464,3665,5461,4763,7253,7387,3723,1424,2050,5306,2463,637,1066,1968,1880,891,947,3176,4500,1202,1286,1255,1313,1533,1586,1450,1487,3643,5515,4915,7726,7907,4295,1657,2487,6814,4145,1514
"G3600150","1980","A","1","2","New York","36","2335","Chemung","015",,,,,,,,,,,,,"03",,,,,,,,"CHEMUNG COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",97656,46913,50743,92636,3939,149,0,0,44,76,31,67,131,34,7,5,2,535,96788,173,418,27,250,1482,2647,2638,1283,1272,4401,6340,1671,1877,1908,1962,2021,1944,1909,1758,4818,7516,6785,10051,10169,5687,2090,2927,7276,3942,1282,757,1370,1347,650,635,2212,3209,804,924,966,1081,1093,1053,1079,915,2339,3700,3362,4872,4798,2662,953,1349,3063,1361,359,725,1277,1291,633,637,2189,3131,867,953,942,881,928,891,830,843,2479,3816,3423,5179,5371,3025,1137,1578,4213,2581,923
"G3600170","1980","A","1","2","New York","36",,"Chenango","017",,,,,,,,,,,,,"06",,,,,,,,"CHENANGO COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49344,24071,25273,48819,235,66,0,0,17,33,32,13,43,1,0,0,0,85,49097,51,62,25,109,814,1447,1421,729,685,2451,3731,926,1028,1113,1055,856,682,694,724,2267,3573,3602,5601,4885,2532,945,1421,3610,1859,693,413,739,725,350,351,1199,1916,479,551,538,538,462,332,369,361,1103,1836,1791,2743,2403,1199,439,668,1668,698,200,401,708,696,379,334,1252,1815,447,477,575,517,394,350,325,363,1164,1737,1811,2858,2482,1333,506,753,1942,1161,493
"G3600190","1980","A","1","2","New York","36",,"Clinton","019",,,,,,,,,,,,,"07",,,,,,,,"CLINTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",80750,41035,39715,76991,2330,173,1,5,58,83,63,70,57,23,15,7,0,874,79315,272,733,56,374,1266,2249,2250,1086,1077,3561,5087,1423,1564,1651,1691,2240,2523,2617,2663,5732,7255,6253,8794,7186,3065,1119,1493,4203,2128,574,658,1170,1187,570,539,1791,2574,715,777,836,862,1065,1190,1265,1414,3251,4098,3391,4715,3581,1465,521,687,1795,771,147,608,1079,1063,516,538,1770,2513,708,787,815,829,1175,1333,1352,1249,2481,3157,2862,4079,3605,1600,598,806,2408,1357,427
"G3600210","1980","A","1","2","New York","36",,"Columbia","021",,,,,,,,,,,,,"09",,,,,,,,"COLUMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",59487,29067,30420,57038,2010,87,1,0,13,18,8,28,33,23,9,6,0,213,58949,96,200,28,214,711,1387,1470,703,757,2684,3804,1094,1193,1202,1156,897,837,805,816,2399,4252,4492,6786,6127,3253,1323,1918,5578,2928,915,359,683,753,355,365,1373,1976,588,680,680,625,494,442,404,423,1213,2096,2177,3374,2976,1552,631,860,2541,1195,252,352,704,717,348,392,1311,1828,506,513,522,531,403,395,401,393,1186,2156,2315,3412,3151,1701,692,1058,3037,1733,663
"G3600230","1980","A","1","2","New York","36",,"Cortland","023",,,,,,,,,,,,,"04",,,,,,,,"CORTLAND COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",48820,23203,25617,48133,314,89,0,0,16,44,20,43,35,6,1,0,0,119,48435,50,111,11,213,691,1399,1356,612,628,2239,3090,759,869,944,916,1521,1899,1640,1571,2756,3591,3438,5067,4216,2235,787,1167,3149,1699,581,363,720,698,328,320,1122,1607,402,438,480,436,648,787,696,711,1354,1777,1702,2504,2045,1042,354,550,1364,606,149,328,679,658,284,308,1117,1483,357,431,464,480,873,1112,944,860,1402,1814,1736,2563,2171,1193,433,617,1785,1093,432
"G3600250","1980","A","1","2","New York","36",,"Delaware","025",,,,,,,,,,,,,"06",,,,,,,,"DELAWARE COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",46824,22947,23877,46206,285,88,0,0,26,18,26,12,23,11,8,0,0,121,46531,47,114,17,115,641,1237,1212,575,652,2050,2906,764,867,940,883,1246,1322,933,718,1898,3218,3086,4846,4842,2669,1007,1445,4025,2099,743,325,625,646,302,330,1076,1478,411,478,525,463,648,690,492,386,941,1545,1540,2391,2336,1263,473,690,1829,836,228,316,612,566,273,322,974,1428,353,389,415,420,598,632,441,332,957,1673,1546,2455,2506,1406,534,755,2196,1263,515
"G3600270","1980","A","1","2","New York","36","6460","Dutchess","027",,,,,,,,,,,,,"09",,,,,,,,"DUTCHESS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",245055,121328,123727,221833,17131,381,3,9,218,1063,165,306,940,134,17,6,1,2848,239202,407,3305,359,1782,3133,6027,6179,3037,3198,10885,16940,4419,4898,4853,4894,4712,4842,4635,4339,11978,18925,20120,31685,26224,11816,4256,5914,16338,8287,2521,1624,3117,3198,1578,1622,5524,8677,2220,2429,2462,2504,2389,2484,2436,2254,6234,9563,10061,16148,13346,5770,1986,2709,7125,3122,746,1509,2910,2981,1459,1576,5361,8263,2199,2469,2391,2390,2323,2358,2199,2085,5744,9362,10059,15537,12878,6046,2270,3205,9213,5165,1775
"G3600290","1980","A","1","2","New York","36","1280","Erie","029",,,,,,,,,,,,,"A",,,,,,,,"ERIE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1015472,483238,532234,893195,102947,5046,6,12,492,1393,450,884,1851,282,56,12,4,8842,1001082,1867,8529,341,3653,13026,24661,24271,12188,12251,43258,65651,17738,18670,18907,19517,18928,19493,19256,19420,55040,80515,71063,107508,113162,61059,22563,31151,76905,38243,11028,6647,12662,12424,6209,6184,21939,33399,9087,9579,9701,9935,9528,9605,9206,9198,27034,39299,34354,51082,53846,28680,10473,14403,32319,13405,3040,6379,11999,11847,5979,6067,21319,32252,8651,9091,9206,9582,9400,9888,10050,10222,28006,41216,36709,56426,59316,32379,12090,16748,44586,24838,7988
"G3600310","1980","A","1","2","New York","36",,"Essex","031",,,,,,,,,,,,,"07",,,,,,,,"ESSEX COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",36176,17705,18471,35857,137,63,0,1,12,3,4,14,10,0,2,0,0,73,35943,29,63,4,137,455,888,924,417,485,1661,2495,740,773,768,781,614,500,510,471,1649,2680,2524,3932,3688,2043,775,1134,3147,1599,523,238,454,473,218,263,872,1278,387,408,416,416,330,258,270,236,784,1384,1272,1938,1811,920,378,518,1398,622,163,217,434,451,199,222,789,1217,353,365,352,365,284,242,240,235,865,1296,1252,1994,1877,1123,397,616,1749,977,360
"G3600330","1980","A","1","2","New York","36",,"Franklin","033",,,,,,,,,,,,,"07",,,,,,,,"FRANKLIN COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",44929,22011,22918,42640,88,2083,0,0,13,5,17,12,18,5,0,1,0,47,44751,55,34,6,83,649,1209,1195,622,656,2174,3302,934,1027,964,964,1094,1029,879,771,2202,3189,2980,4510,4462,2325,841,1220,3369,1826,536,348,622,613,315,332,1101,1714,496,522,509,505,604,595,492,369,1081,1593,1508,2194,2169,1089,380,565,1479,671,145,301,587,582,307,324,1073,1588,438,505,455,459,490,434,387,402,1121,1596,1472,2316,2293,1236,461,655,1890,1155,391
"G3600350","1980","A","1","2","New York","36",,"Fulton","035",,,,,,,,,,,,,"05",,,,,,,,"FULTON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",55153,26457,28696,54369,473,77,0,0,20,16,8,24,33,31,7,3,1,91,54848,54,94,13,144,795,1520,1465,736,730,2683,3731,1027,1043,1110,1038,872,832,782,766,2445,3923,3913,5704,5497,3183,1273,1847,4990,2445,803,406,796,754,368,357,1354,1901,530,541,570,548,439,421,398,370,1188,1914,1940,2792,2664,1444,582,824,2245,867,244,389,724,711,368,373,1329,1830,497,502,540,490,433,411,384,396,1257,2009,1973,2912,2833,1739,691,1023,2745,1578,559
"G3600370","1980","A","1","2","New York","36",,"Genesee","037",,,,,,,,,,,,,"02",,,,,,,,"GENESEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",59400,28963,30437,57414,1122,613,0,0,20,7,8,31,31,3,0,0,1,150,59075,65,151,3,106,846,1643,1660,845,822,2960,4356,1151,1230,1272,1173,1087,1027,937,934,2842,4567,4340,6704,6036,3153,1135,1649,4128,2184,719,417,843,830,458,409,1536,2231,620,644,637,586,535,525,460,462,1390,2291,2122,3326,2957,1506,523,774,1827,813,241,429,800,830,387,413,1424,2125,531,586,635,587,552,502,477,472,1452,2276,2218,3378,3079,1647,612,875,2301,1371,478
"G3600390","1980","A","1","2","New York","36",,"Greene","039",,,,,,,,,,,,,"09",,,,,,,,"GREENE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",40861,19848,21013,39259,1225,64,2,1,8,10,8,10,14,10,2,3,0,245,40301,41,316,33,170,462,953,986,488,535,1731,2580,682,763,772,882,782,683,647,550,1760,2681,2831,4448,4233,2213,887,1367,4106,2152,687,231,475,500,247,295,864,1323,353,414,368,503,497,409,392,272,868,1336,1305,2197,2070,1044,394,628,1790,876,197,231,478,486,241,240,867,1257,329,349,404,379,285,274,255,278,892,1345,1526,2251,2163,1169,493,739,2316,1276,490
"G3600410","1980","A","1","2","New York","36",,"Hamilton","041",,,,,,,,,,,,,"05",,,,,,,,"HAMILTON COUNTY","0","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0",5034,2508,2526,5011,0,12,0,0,1,0,0,1,2,0,0,0,0,7,5022,6,1,0,5,64,115,98,54,58,214,327,98,110,122,99,76,55,46,57,180,298,291,575,576,319,142,223,529,262,46,26,52,53,32,29,113,160,60,59,54,53,50,32,21,27,90,166,137,283,282,157,68,120,251,114,19,38,63,45,22,29,101,167,38,51,68,46,26,23,25,30,90,132,154,292,294,162,74,103,278,148,27
"G3600430","1980","A","1","2","New York","36","8680","Herkimer","043",,,,,,,,,,,,,"D",,,,,,,,"HERKIMER COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",66714,32247,34467,66327,118,82,1,0,23,11,16,10,31,1,7,1,1,85,66455,51,87,8,113,986,1848,1749,949,938,3125,4355,1194,1276,1356,1272,1334,1277,1058,1011,2980,4635,4555,7049,6588,4015,1608,2291,5561,2794,910,506,932,901,509,485,1586,2232,623,634,665,692,655,615,522,526,1476,2293,2300,3520,3149,1844,724,1077,2501,984,296,480,916,848,440,453,1539,2123,571,642,691,580,679,662,536,485,1504,2342,2255,3529,3439,2171,884,1214,3060,1810,614
"G3600450","1980","A","1","2","New York","36",,"Jefferson","045",,,,,,,,,,,,,"07",,,,,,,,"JEFFERSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",88151,42164,45987,87318,274,206,0,2,16,41,57,49,24,15,6,4,1,138,87776,121,74,10,170,1388,2682,2596,1276,1266,4463,6237,1735,1799,1788,1873,1567,1521,1377,1374,4234,6637,6080,9156,8740,4684,1718,2442,6665,3637,1216,700,1353,1336,666,638,2307,3194,859,895,922,920,731,760,688,687,2054,3232,3000,4483,4214,2131,812,1134,2868,1262,318,688,1329,1260,610,628,2156,3043,876,904,866,953,836,761,689,687,2180,3405,3080,4673,4526,2553,906,1308,3797,2375,898
"G3600470","1980","B","1","2","New York","36","5600","Kings","047",,,,,,,,"70",,,,,"G",,,,,,,,"KINGS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2230936,1026997,1203939,1249486,722812,3113,28,41,720,26880,3939,2827,7258,859,231,218,33,212491,1838818,7364,279646,9502,95606,38974,69458,67629,32278,30589,99260,138828,37024,38716,39734,39025,36585,37835,38071,37839,117728,188055,168297,244651,226231,119121,44348,61116,172749,86188,20607,19623,35287,34344,16374,15529,50601,70050,18460,19623,19725,19149,17834,17780,17869,17472,54144,87654,78246,110004,100226,52478,19455,26057,70424,31495,7094,19351,34171,33285,15904,15060,48659,68778,18564,19093,20009,19876,18751,20055,20202,20367,63584,100401,90051,134647,126005,66643,24893,35059,102325,54693,13513
"G3600490","1980","A","1","2","New York","36",,"Lewis","049",,,,,,,,,,,,,"07",,,,,,,,"LEWIS COUNTY","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0",25035,12512,12523,24918,15,32,0,0,2,0,21,3,5,4,0,0,0,35,24955,26,1,1,52,427,875,797,371,384,1343,1946,494,583,584,574,449,419,400,404,1210,1946,1600,2540,2515,1177,441,643,1658,932,323,221,445,402,191,214,690,1011,253,297,279,299,238,238,198,204,600,1009,855,1265,1228,623,205,307,774,375,91,206,430,395,180,170,653,935,241,286,305,275,211,181,202,200,610,937,745,1275,1287,554,236,336,884,557,232
"G3600510","1980","A","1","2","New York","36","6840","Livingston","051",,,,,,,,,,,,,"02",,,,,,,,"LIVINGSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57006,27394,29612,55887,666,129,2,1,13,20,19,25,45,22,1,0,0,176,56659,53,156,16,122,805,1549,1455,719,707,2674,3774,1038,1094,1127,1067,1696,1819,1630,1613,3155,4398,4122,6243,5429,2610,938,1346,3621,1783,594,419,824,761,384,368,1377,1909,553,580,603,543,664,754,634,662,1540,2187,1989,3128,2720,1241,469,627,1585,676,197,386,725,694,335,339,1297,1865,485,514,524,524,1032,1065,996,951,1615,2211,2133,3115,2709,1369,469,719,2036,1107,397
"G3600530","1980","A","1","2","New York","36","8160","Madison","053",,,,,,,,,,,,,"C",,,,,,,,"MADISON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",65150,32066,33084,64236,472,157,3,1,13,40,16,33,14,23,10,5,1,126,64814,43,101,24,168,976,1777,1742,859,885,3145,4606,1269,1255,1313,1352,2162,2554,1789,1427,3148,4710,4557,7115,6064,3054,1152,1649,4009,1927,654,551,908,882,418,450,1616,2362,682,640,647,687,1095,1266,992,750,1558,2312,2249,3531,2944,1486,540,796,1815,690,199,425,869,860,441,435,1529,2244,587,615,666,665,1067,1288,797,677,1590,2398,2308,3584,3120,1568,612,853,2194,1237,455
"G3600550","1980","A","1","2","New York","36","6840","Monroe","055",,,,,,,,,,,,,"B",,,,,,,,"MONROE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",702238,337664,364574,613525,71041,1633,13,11,465,1436,352,720,1696,653,52,13,10,10618,685500,1186,11797,869,2886,10027,18143,17409,8758,8701,31097,46500,12129,13059,13094,12911,13413,13796,14435,14152,40700,61399,56756,80142,70447,36704,13193,18297,43916,24535,8525,5089,9268,8975,4511,4413,15984,23839,6115,6685,6774,6502,6823,6844,7228,7120,20160,29880,27582,38911,34010,17345,6124,8288,18321,8498,2375,4938,8875,8434,4247,4288,15113,22661,6014,6374,6320,6409,6590,6952,7207,7032,20540,31519,29174,41231,36437,19359,7069,10009,25595,16037,6150
